Brand,OS,Processor,RAM_Size,RAM_Type,Storage_Size,Storage_type,MRP
APPLE,Mac ,M2,8GB,Unified,512GB,SSD,139990.0
Lenovo,Windows 11,AMD,8GB,DDR4,512GB,SSD,35590.0
ASUS,Windows 11,AMD,16GB,DDR4,1TB,SSD,150990.0
Lenovo,Windows 11,Intel,4GB,DDR4,256GB,SSD,29990.0
Lenovo,Chrome ,Intel,4GB,DDR4,512GB,SSD,19490.0
Lenovo,Windows 11,Intel,8GB,DDR4,256GB,SSD,36990.0
Lenovo,Windows 11,AMD,8GB,DDR4,512GB,SSD,73490.0
ASUS,Windows 11,AMD,8GB,DDR4,1TB,HDD,52990.0
HP,Windows 11,Intel,8GB,DDR4,512GB,SSD,41890.0
DELL,Windows 11,Intel,8GB,DDR4,256GB,SSD,30428.0
acer,Windows 11,Intel,8GB,DDR4,512GB,SSD,34990.0
Lenovo,Chrome ,Intel,4GB,DDR4,512GB,SSD,19490.0
Lenovo,Windows 11,Intel,4GB,DDR4,256GB,SSD,29990.0
APPLE,Mac ,M1,8GB,DDR4,256GB,SSD,88990.0
Lenovo,Windows 11,Intel,8GB,DDR4,256GB,SSD,36990.0
MSI,Windows 10,Intel,8GB,DDR4,512GB,SSD,65990.0
ASUS,Windows 11,Intel,8GB,DDR4,512GB,SSD,33490.0
HP,Windows 11,Intel,16GB,DDR4,512GB,SSD,60990.0
Lenovo,Windows 11,Intel,8GB,DDR4,512GB,SSD,39990.0
HP,Windows 11,AMD,8GB,DDR4,512GB,SSD,46990.0
ASUS,Windows 11,AMD,16GB,DDR4,512GB,SSD,59990.0
MSI,Windows 10,Intel,16GB,DDR4,1TB,SSD,114990.0
RedmiBook,Windows 11,Intel,8GB,DDR4,512GB,SSD,39990.0
ASUS,Windows 10,Intel,16GB,DDR4,1TB,SSD,119990.0
Infinix,Windows 11,Intel,8GB,LPDDR4X,512GB,SSD,42990.0
ASUS,Windows 11,Intel,16GB,LPDDR5,512GB,SSD,89990.0
Lenovo,Windows 11,AMD,8GB,DDR4,512GB,SSD,38705.0
MSI,Windows 11,AMD,8GB,DDR4,512GB,SSD,79990.0
ASUS,Windows 11,Intel,8GB,DDR4,1TB,SSD,70990.0
Lenovo,Windows 11,Intel,8GB,DDR4,256GB,SSD,33900.0
ASUS,Windows 11,AMD,16GB,DDR5,1TB,SSD,196990.0
realme,Windows 10,Intel,8GB,DDR4,512GB,SSD,59990.0
Infinix,Windows 11,Intel,16GB,LPDDR4X,512GB,SSD,52990.0
APPLE,Mac ,M1,16GB,DDR4,512GB,SSD,124990.0
ASUS,Windows 11,AMD,16GB,DDR4,1TB,SSD,85990.0
